codigo	categoria	descricao
003029	BEBIDAS	AGUA MINERAL BURGER KING CX 48 UN
028459	BEBIDAS	BEBIDA LACTEA DOCE DE LEITE UHT BK CX10X2UN
021403	CARNES/PEIXES/AVES	CARNE CONG MOIDA WHOPPER BK CX 17,2KG
031777	CARNES/PEIXES/AVES	CHICKEN JR CLEAN BK CX 9,88KG
034580	CARNES/PEIXES/AVES	CHICKEN NUGGETS CLEAN BK CX 12 KG
035708	COBERTURAS	MISTURA MILK SHAKE BAU BK DOHLER CX 13,16
003043	DESCARTAVEIS	GUARDANAPO EMBALADO BK 20X30 CX 2400 UND
009241	DESCARTAVEIS	GUARDANAPO SORVETE BK 20 X 20 CX 5000 UND
024016	DESCARTAVEIS	COPO MIX INSTITUCIONAL 290ML BK BO PACK CX 320UN
024416	DESCARTAVEIS	KIT TEFLON TOSTER BK CX C/ 5UN
024452	DESCARTAVEIS	FILTRO P/ FRITADEIRA PITCO 30UND
025299	DESCARTAVEIS	REDINHA PARA CABELO PRETA BK PCT C/ 100UN
026290	DESCARTAVEIS	BALDE DE PAPEL 900ML BK BO PACK NAC CX 500UND
031543	DESCARTAVEIS	GARFO SOBREMESA CX 1000 UND
031544	DESCARTAVEIS	KIT GARFO/FACA EMBALADOS
031886	DESCARTAVEIS	GUARDANAPO INTERFOLHADO BK CX 5400 UM
031887	DESCARTAVEIS	PAPEL TOALHA BK CX 6X200M
031888	DESCARTAVEIS	PAPEL TOALHA INTERFOLHADA 24X350
031896	DESCARTAVEIS	COPO SHAKE 440ML BIO BK CX 900UN
031897	DESCARTAVEIS	COPO CORTESIA BIO 200ML BK CX 2000 UND
034741	DESCARTAVEIS	TAMPA SUNDAE BK CX C/1200 UND
010880	EMBALAGENS	BANDEJA PRETA BK C/ 50 UND
035293	EMBALAGENS	CARTONAGEM BATATA MEDIA NOVA BK CX 1600 UND
004326	ESTOCAVEIS	ETIQUETA (TERCA) ROLO 1000 UN
004327	ESTOCAVEIS	ETIQUETA (SEGUNDA) ROLO 1000 UN
004328	ESTOCAVEIS	ETIQUETA (SABADO) ROLO 1000 UN
004329	ESTOCAVEIS	ETIQUETA (QUINTA) ROLO 1000 UN
010947	ESTOCAVEIS	SAL BK 0,5KG X 20FD
012331	ESTOCAVEIS	KIT DE MANUTENCAO ORINGS 162 BK
012332	ESTOCAVEIS	KIT DE MANUTENCAO ORINGS 336 BK
012333	ESTOCAVEIS	KIT DE MANUTENCAO ORINGS 8754 BK
020754	ESTOCAVEIS	OLEO ESPECIAL SUPREMA BK CX 18KG
021671	ESTOCAVEIS	SACHE KETCHUP BK HEINZ CX 1500X7GR
023188	ESTOCAVEIS	SACO BK CHICKEN C.C PCT 1000UNDS
024754	ESTOCAVEIS	BOBINA TERMICA 79X40 PALHA ATOCOTEPE BK C/ 30UN
028150	ESTOCAVEIS	KIT MEDIDOR OLEO IMP. BK
